127.0.0.1 - - [18/Nov/2015:22:28:10 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:36 +0700] "GET /beyond-web/zul/setting.zul HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:37 +0700] "GET /beyond-web/login.zul;jsessionid=5ACA6DB9B2066BEA385C24F144EDA3AA HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/zkau/web/788f313d/js/zk.wpd HTTP/1.1" 200 117964
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/zkau/web/788f313d/zul/css/zk.wcs HTTP/1.1" 200 18177
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/zkau/web/_zv2014052709/js/zul.lang.wpd HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/zkau/web/_zv2014052709/js/zhtml.wpd HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/images/favicon.ico HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/zkau/web/_zv2014052709/js/zul.box.wpd HTTP/1.1" 200 8108
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/images/favicon.ico HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/zkau/web/_zv2014052709/js/zul.utl.wpd HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/zkau/web/_zv2014052709/js/zul.grid.wpd HTTP/1.1" 200 5439
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/zkau/web/_zv2014052709/js/zul.inp.wpd HTTP/1.1" 200 18564
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/zkau/web/_zv2014052709/js/zul.mesh.wpd HTTP/1.1" 200 17405
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/zkau/web/_zv2014052709/js/zk.fmt.wpd HTTP/1.1" 200 2861
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/zkau/web/_zv2014052709/js/zul.menu.wpd HTTP/1.1" 200 7899
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/zkau/web/788f313d/zul/img/misc/progress.gif HTTP/1.1" 200 1849
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/images/key.png HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/style/ui.css HTTP/1.1" 200 12498
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/style/style.css HTTP/1.1" 200 4287
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:38 +0700] "GET /beyond-web/images/ HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:40 +0700] "GET /beyond-web/zkau?dtid=z_ih9&cmd_0=rmDesktop&opt_0=i HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:41 +0700] "POST /beyond-web/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:44 +0700] "GET /beyond-web/zul/setting.zul HTTP/1.1" 200 5677
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:44 +0700] "GET /beyond-web/zkau/web/_zv2014052709/js/zul.lang.wpd HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:44 +0700] "GET /beyond-web/zkau/web/_zv2014052709/js/zul.tab.wpd HTTP/1.1" 200 6346
0:0:0:0:0:0:0:1 - - [18/Nov/2015:22:28:44 +0700] "GET /beyond-web/zkau/web/_zv2014052709/js/zul.layout.wpd HTTP/1.1" 200 7808
